"claim_id","exact_current_wording","normalized_claim","claim_category","source_file","source_anchor","route_or_component","source_state","factual_or_positioning","verification_status","evidence","scope","limitations","contradicts_claim_id","duplication_cluster","risk_level","safe_direction","owner_approval_status","date_validated","revalidation_trigger","future_phase","notes"
"c014","Open for AI software engineering roles — remote or Ahmedabad, India","Availability location role text","availability","config/site.ts","availability","/hire","LOCAL_PUBLIC_SOURCE","UNRESOLVED","PARTIALLY_VERIFIED","positioning","REPOSITORY_VERIFIED_FACT","config/site.ts availability text","","no explicit date or response SLA","MEDIUM","VERIFY","PENDING","Keep with SLA caveat","PENDING_OWNER_CONFIRMATION","P1","owner review"
"c015","Contact details and availability","Contact intent claim","availability; conversion","app/hire/page.tsx","hireText","/hire","LOCAL_PUBLIC_SOURCE","POSITIONING","REPOSITORY_VERIFIED_FACT","hire page CTA and nav labels","public copy","no `/contact` route in source","","c019","MEDIUM","VERIFY","PENDING","Future canonical conversion route is /contact","P0-R4","P1",""
"c016","/api/chat endpoint","Canonical assistant endpoint","assistant; api; metadata","app/api/chat/route.ts","route handler","/api/chat","LOCAL_PUBLIC_SOURCE","FACTUAL","REPOSITORY_VERIFIED_FACT","route.ts export in app/api/chat","API behavior","No public API contract docs for all behaviors","","c027","LOW","KEEP","PENDING","Decision log marks this canonical","P0-R4","P1",""
"c017","/api/ask endpoint","Legacy assistant endpoint expectation","assistant; api","app/dev/components/page.tsx","examples","/dev/components","LOCAL_PUBLIC_SOURCE","POSITIONING","UNSUPPORTED","mentions ask endpoint in demo node examples","dev docs","not canonical; no route file","c016","cluster-api-compat","MEDIUM","REWRITE","APPROVED","2026-08-14","route cleanup","P1","Internal examples should reflect canonical API"
"c018","No writes/No code execution","Security posture claim","security; trust","components/features/assistant.tsx","copy","/","LOCAL_PUBLIC_SOURCE","POSITIONING","PARTIALLY_VERIFIED","UI wording around limitations and controls","user facing copy","no direct evidence mapping to infra controls","c013","cluster-security-absolute","HIGH","VERIFY","PENDING","2026-08-14","security audit","P1","Should map to explicit tests and middleware"
"c019","Never outputs harmful content","Safety absolute claim","security","components/features/assistant-panel.tsx","safety text","/","LOCAL_PUBLIC_SOURCE","POSITIONING","CONTRADICTED","assistant safety copy","public claim","no complete test matrix in this packet","c037","cluster-absolute-safety","HIGH","REWRITE","PENDING","2026-08-14","test expansion","P1",""
"c020","No code execution","Security posture","trust; assistant","app/trust/page.tsx","security bullets","/trust","LOCAL_PUBLIC_SOURCE","FACTUAL","PARTIALLY_VERIFIED","trust section","public claim","scope lacks architecture and test evidence","","c018","MEDIUM","VERIFY","PENDING","PENDING_OWNER_CONFIRMATION","2026-08-14","P1","P1"
"c021","Public deployment URL exists","Deployment URL claim","project status; operations","content/projects.ts","project.url","/work","LOCAL_PUBLIC_SOURCE","POSITIONING","PENDING_OPERATIONAL_VERIFICATION","project.url field only","public availability","no live response checks per project in packet","","c014","MEDIUM","VERIFY","PENDING","PENDING_OPERATIONAL_VERIFICATION","2026-08-14","P0-R4","P0-R4"
"c022","Source repository exists","Source repository claim","project status; operations","content/projects.ts","project.repoUrl","/work","LOCAL_PUBLIC_SOURCE","UNRESOLVED","PARTIALLY_VERIFIED","REPOSITORY_VERIFIED_FACT","repo URL field","project evidence","","cluster-uncategorized","MEDIUM","VERIFY","PENDING","approved","2026-08-14","P1","P1"
"c023","Accuracy above threshold","Evaluation score claim","metrics; evaluations","content/evals.ts","evals.scoreCards","/evals","LOCAL_PUBLIC_SOURCE","FACTUAL","PARTIALLY_VERIFIED","evals.ts score rows","evaluation evidence","missing sample sizes and baselines","","c031","HIGH","VERIFY","PENDING","2026-08-14","methodology audit","P1",""
"c024","Refusal rate","Reliability score metric","metrics; evaluations","content/evals.ts","evals.refusal","/evals","LOCAL_PUBLIC_SOURCE","FACTUAL","PARTIALLY_VERIFIED","evals tables and chart labels","portfolio evidence","sample size/date not explicit","","c031","MEDIUM","QUALIFY","PENDING","2026-08-14","metric verification","P1",""
"c025","Provider counts","Provider diversity metric","metrics; evaluations","content/evals.ts","evals.providers","/evals","LOCAL_PUBLIC_SOURCE","FACTUAL","PARTIALLY_VERIFIED","evaluation metadata","list not mapped to run-time logs","requires verification","c031","Medium","MEDIUM","VERIFY","PENDING","evidence check","P1","P1",""
"c026","Openly share privacy policy","Privacy posture claim","privacy","app/privacy/page.tsx","privacy copy","/privacy","LOCAL_PUBLIC_SOURCE","FACTUAL","REPOSITORY_VERIFIED_FACT","explicit privacy page","policy text present","not linked to implementation controls","","c044","LOW","KEEP","PENDING","2026-08-14","compliance check","P1",""
"c027","Reads my experience timeline","Career continuity claim","experience timeline","content/timeline.ts","timelineEvents","/about","LOCAL_PUBLIC_SOURCE","UNRESOLVED","PARTIALLY_VERIFIED","PARTIALLY_VERIFIED","timeline entries for education/employment","career narrative","","c012","MEDIUM","VERIFY","PENDING","P1","P0-R4","P1",""
"c028","AI/ML Engineer","Factual title in timeline and employment","identity","content/timeline.ts","employmentRole","/about","LOCAL_PUBLIC_SOURCE","UNRESOLVED","PARTIALLY_VERIFIED","REPOSITORY_VERIFIED_FACT","event label and role text","career narrative","","c001","MEDIUM","VERIFY","PENDING","PENDING_OWNER_CONFIRMATION","2026-08-14","P1","P1"
"c029","AI Software Engineer","Marketing/branding role string","identity","config/site.ts","SITE.role","/","LOCAL_PUBLIC_SOURCE","POSITIONING","PARTIALLY_VERIFIED","config role text","public metadata","inconsistent with owner-approved Applied AI Engineer","c001","cluster-role","HIGH","VERIFY","PENDING","2026-08-14","brand pass","P1",""
"c030","GenAI Engineer","Role variant","identity","content/site.ts","proof.profiles","/","LOCAL_PUBLIC_SOURCE","POSITIONING","UNSUPPORTED","role word used in few claim blocks","public positioning","no canonical field for this variant","c001","cluster-role","MEDIUM","REWRITE","APPROVED","PENDING_OWNER_CONFIRMATION","2026-08-14","P1","P1"
"c031","AI Software Engineer (homepage)","Alternate role variant","identity","components/layout/header.tsx","brandText","/","LOCAL_PUBLIC_SOURCE","POSITIONING","PARTIALLY_VERIFIED","header labels and metadata","navigation copy","not tied to finalized brand role","c001","cluster-role","HIGH","VERIFY","PENDING","2026-08-14","P0-R4","P1",""
"c032","Applied AI","Canonical brand role","docs decision + prompt context","docs/flagship-transformation/07-decision-log.md","Owner-approved section","/","LOCAL_PUBLIC_SOURCE","POSITIONING","OWNER_APPROVED_POSITIONING","approved decision record","all surfaces","not consistently applied in source currently","c001","cluster-role","MEDIUM","KEEP","PENDING","2026-08-14","phase1 content harmonization","P1",""
"c033","LLM systems, evaluation, AI platforms, and production software","Supporting descriptor","identity; positioning","docs/flagship-transformation/07-decision-log.md","Owner-approved section","/","LOCAL_PUBLIC_SOURCE","POSITIONING","OWNER_APPROVED_POSITIONING","decision log","global identity","not yet applied uniformly","c010","cluster-descriptor","MEDIUM","KEEP","PENDING","2026-08-14","P0-R4","P1",""
"c034","I build reliable AI products end to end ...","Canonical positioning statement","positioning; brand","docs/flagship-transformation/07-decision-log.md","Owner-approved statement","/","LOCAL_PUBLIC_SOURCE","POSITIONING","OWNER_APPROVED_POSITIONING","decision log","positioning","pending phase 1 copy rollout","c020","cluster-conversion","MEDIUM","KEEP","APPROVED","2026-08-14","content alignment","P1",""
"c035","resume page is factual","Factual nature of resume section","documentation governance","app/resume/page.tsx","export behavior","/resume","LOCAL_PUBLIC_SOURCE","POSITIONING","REPOSITORY_VERIFIED_FACT","resumes uses local content and json","factual section","ensure no creative rewrites in phase 1 claims","","c051","LOW","KEEP","APPROVED","2026-08-14","doc freeze review","P1",""
"c036","4 projects in portfolio","Project count","projects","content/site.ts","proof.projectsCount","/work","LOCAL_PUBLIC_SOURCE","UNRESOLVED","PARTIALLY_VERIFIED","PARTIALLY_VERIFIED","project count appears in home and source","factual","","c007","MEDIUM","VERIFY","PENDING","PENDING_OPERATIONAL_VERIFICATION","2026-08-14","P1","P0-R4"
"c037","Live AI app","Project-state claim","project deployment status","content/faq.json","faqItems[0]","/work","LOCAL_PUBLIC_SOURCE","UNRESOLVED","PARTIALLY_VERIFIED","PARTIALLY_VERIFIED","FAQ text says production and live behavior","public project claims","","c021","MEDIUM","VERIFY","PENDING","PARTIALLY_VERIFIED","2026-08-14","P1","P0-R4"
"c038","Always accurate","Absolute reliability language","trust; assistant","components/features/assistant.tsx","copy","/trust","LOCAL_PUBLIC_SOURCE","FACTUAL","CONTRADICTED","text uses terms like always and reliable","trust framing","no universal guarantee in controls","c040","cluster-absolute-language","HIGH","VERIFY","PENDING","2026-08-14","trust audit","P1",""
"c039","Never generates false content","No-fake promise","trust; assistant","app/trust/page.tsx","trust claims","/trust","LOCAL_PUBLIC_SOURCE","FACTUAL","CONTRADICTED","anti-fake language","trust framing","no absolute proof in claims","c040","cluster-absolute-language","HIGH","REWRITE","PENDING","2026-08-14","trust audit","P1",""
"c040","Tenant-level isolation","Security architecture claim","security","components/features/assistant.tsx","security section","/trust","LOCAL_PUBLIC_SOURCE","POSITIONING","PARTIALLY_VERIFIED","assistant description uses isolation terms","security policy","needs schema and deployment control links","c038","cluster-security-architecture","HIGH","VERIFY","PENDING","2026-08-14","security design review","P1",""
"c041","Rate limiting mention","Reliability control claim","security; assistant","components/features/assistant.tsx","api section","/","LOCAL_PUBLIC_SOURCE","FACTUAL","PARTIALLY_VERIFIED","mentions rate limiting and retries","operational claim","control limits not shown in route code here","","c052","MEDIUM","KEEP","PENDING","2026-08-14","infra audit","P1",""
"c042","Open source links","Repository sharing claim","professional work","content/projects.ts","project.repoUrl","/work","LOCAL_PUBLIC_SOURCE","UNRESOLVED","PARTIALLY_VERIFIED","REPOSITORY_VERIFIED_FACT","visible repo URLs","professional proof","","cluster-uncategorized","MEDIUM","VERIFY","PENDING","Keep as supporting evidence","P1","P1",""
"c043","Healthcare automation experience","Healthcare work claim","professional work","content/resume.ts","experience[0]","/resume","LOCAL_PUBLIC_SOURCE","UNRESOLVED","PARTIALLY_VERIFIED","PARTIALLY_VERIFIED","resume project bullets with healthcare terms","professional biography","","c055","MEDIUM","VERIFY","PENDING","PENDING_OWNER_CONFIRMATION","2026-08-14","P1","P1"
"c044","Collaboration-first wording","Collaboration narrative claim","professional work","app/about/page.tsx","narrative","/about","LOCAL_PUBLIC_SOURCE","POSITIONING","REPOSITORY_VERIFIED_FACT","text includes collaboration language","brand narrative","not paired with evidence for team outcomes","","c056","LOW","KEEP","PENDING","2026-08-14","content strategy","P1",""
"c045","Location Ahmedabad, India","Geographic location claim","identity; location","content/site.ts","siteMeta","/","LOCAL_PUBLIC_SOURCE","FACTUAL","REPOSITORY_VERIFIED_FACT","site metadata contains Ahmedabad, India","public identity","location not necessarily availability scope","","c060","LOW","KEEP","PENDING","2026-08-14","availability alignment","P1",""
"c046","Open to AI software engineering roles","Availability claim","availability","config/site.ts","availability","/hire","LOCAL_PUBLIC_SOURCE","POSITIONING","REPOSITORY_VERIFIED_FACT","config/site.ts availability string","recruiting","no response SLA","","c025","LOW","KEEP","PENDING","2026-08-14","P0-R4","P1",""
"c047","Open to work","Conversion availability language","availability","app/hire/page.tsx","hire copy","/hire","LOCAL_PUBLIC_SOURCE","POSITIONING","REPOSITORY_VERIFIED_FACT","conversion copy says open opportunities","professional conversion","no date/rhythm for responsiveness","c014","cluster-availability","MEDIUM","VERIFY","PENDING","2026-08-14","availability policy","P1",""
"c048","Contact method via hire route","Conversion route truth","conversion","components/layout/footer.tsx","contactLink","/hire","LOCAL_PUBLIC_SOURCE","UNRESOLVED","PARTIALLY_VERIFIED","positioning","REPOSITORY_VERIFIED_FACT","links to /hire and not /contact","","future canonical /contact is absent","MEDIUM","VERIFY","PENDING","Document migration plan","PENDING_OWNER_CONFIRMATION","P1","route governance"
"c049","/contact route missing","Route gap","routes; conversion","app/contact/page.tsx","missing file","/contact","SOURCE_MISSING","FACTUAL","UNSUPPORTED","no source file found","route availability","decision expects future canonical route","c061","cluster-route-identity","HIGH","VERIFY","PENDING","P1 route planning required","P0-R4","P1",""
"c050","/timeline appears live","Route legacy behavior","routes","route inventory evidence","/timeline","P2 route matrix","HISTORICAL_DOCUMENT","POSITIONING","UNSUPPORTED","route appears from prior deployment state not in current source","routing","requires evidence mechanism from previous deploy or middleware","","c062","MEDIUM","QUALIFY","PENDING","2026-08-14","live route audit","P0-R2","Not in local routes"
"c051","/talks appears live","Route legacy behavior","routes","route inventory evidence","/talks","P2 route matrix","HISTORICAL_DOCUMENT","POSITIONING","UNSUPPORTED","route appears on prior checks but no local source","routing","same as timeline","","c062","MEDIUM","QUALIFY","PENDING","2026-08-14","live route audit","P0-R2",""
"c052","/changelog appears live","Route legacy behavior","routes","route inventory evidence","/changelog","P2 route matrix","HISTORICAL_DOCUMENT","POSITIONING","UNSUPPORTED","route appears on prior checks but no local source","routing","same as talk/timeline","","c062","MEDIUM","QUALIFY","PENDING","2026-08-14","live route audit","P0-R2",""
"c053","No `/home` canonical route","Route design decision","routes","AGENTS.md","route notes","/home","HISTORICAL_DOCUMENT","FACTUAL","UNSUPPORTED","no home route in source","routing","decision requires evidence before keeping","","c063","LOW","VERIFY","APPROVED","2026-08-14","route decision review","P1","Decision says do not create without evidence"
"c054","LLM-readable file exists","Machine-readable identity claim","metadata","public/llms.txt","root file","/","LOCAL_PUBLIC_SOURCE","FACTUAL","REPOSITORY_VERIFIED_FACT","file includes canonical links and role text","public identity","role phrasing should match decisions","c001","cluster-role","MEDIUM","VERIFY","PENDING","Used by crawlers","P0-R4","P1",""
"c055","Sitemap includes route set","Indexing policy","metadata; seo","app/sitemap.ts","staticRoutes","/sitemap.xml","LOCAL_PUBLIC_SOURCE","FACTUAL","REPOSITORY_VERIFIED_FACT","routes array and dynamic generation","metadata","some legacy routes missing from source","c062","cluster-route-coverage","MEDIUM","VERIFY","PENDING","2026-08-14","P0-R4","P1",""
"c056","Robots disallow api and dev","Indexing policy","metadata; seo","app/robots.ts","rules","/robots.txt","LOCAL_PUBLIC_SOURCE","FACTUAL","REPOSITORY_VERIFIED_FACT","disallow /api/ and /dev/","indexing policy","does not classify /contact and /home policy separately","c063","cluster-route-policy","LOW","QUALIFY","PENDING","2026-08-14","P0-R4","P1",""
"c057","OG and social metadata include role text","Metadata role consistency","metadata; seo","app/opengraph-image.tsx","ImageMetadata","/","LOCAL_PUBLIC_SOURCE","POSITIONING","PARTIALLY_VERIFIED","opengraph text builds with config role","social copy","role copy still in conflict","c001","cluster-role","MEDIUM","VERIFY","PENDING","2026-08-14","P0-R4","P1",""
"c058","RSS and writing feed exist","Content distribution","metadata","app/rss.xml/route.ts,app/writing/feed.xml/route.ts","routes","/rss.xml","LOCAL_PUBLIC_SOURCE","UNRESOLVED","PARTIALLY_VERIFIED","REPOSITORY_VERIFIED_FACT","both feed routes implemented","distribution","","c070","MEDIUM","VERIFY","PENDING","approved","2026-08-14","P1","P1"
"c059","Sitemap and feed references notes","Content inventory claims","metadata; seo","app/sitemap.ts","filters","/sitemap.xml","LOCAL_PUBLIC_SOURCE","FACTUAL","PARTIALLY_VERIFIED","dynamic generation uses content lists and exclusions","SEO surface","uncertain if all intended content included","c070","cluster-rss","MEDIUM","VERIFY","PENDING","2026-08-14","P0-R4","P1",""
"c060","Now page indicates current activity","Freshness claim","activity; current state","app/now/page.tsx","content source","/now","LOCAL_PUBLIC_SOURCE","FACTUAL","PARTIALLY_VERIFIED","now.mdx content with timestamp-like phrasing","factual","no explicit freshness SLA","","c072","MEDIUM","VERIFY","PENDING","2026-08-14","P0-R4","P1",""
"c061","No confidential metrics exposed","Confidentiality policy","professional-work","app/privacy/page.tsx","privacy text","/privacy","LOCAL_PUBLIC_SOURCE","POSITIONING","PARTIALLY_VERIFIED","privacy content mentions data policy","professional compliance","no explicit internal audit proof","","c080","LOW","KEEP","PENDING","2026-08-14","P0-R4","P1",""
"c062","Use of confidence and uncertainty","Tone claim","trust; assistant","components/features/assistant-panel.tsx","copy","/api/chat","LOCAL_PUBLIC_SOURCE","POSITIONING","REPOSITORY_VERIFIED_FACT","text uses confidence qualifiers","brand tone","qualifiers often absent in other claim surfaces","","c056","LOW","KEEP","PENDING","2026-08-14","P0-R4","P1",""
"c063","Healthcare workflow automation","Professional outcome claim","professional-work","content/resume.ts","experience[0]","/about","LOCAL_PUBLIC_SOURCE","UNRESOLVED","PARTIALLY_VERIFIED","PARTIALLY_VERIFIED","project bullet says 50-80% workflow reduction","professional impact","","c043","MEDIUM","VERIFY","PENDING","PENDING_OWNER_CONFIRMATION","2026-08-14","P1","P1"
"c064","Clinical or decision-support references","Sector-specific claim","professional-work","content/timeline.ts","timeline events","/about","LOCAL_PUBLIC_SOURCE","UNRESOLVED","PARTIALLY_VERIFIED","PARTIALLY_VERIFIED","timeline references clinical AI","professional scope","","cluster-uncategorized","MEDIUM","VERIFY","PENDING","Need owner confirmation","CONFIDENTIAL_NOT_PUBLIC","P1","confidentiality review"
"c065","GitHub repository as evidence","External repository proof","metadata; trust","README.md","repository metadata","/","LOCAL_PUBLIC_SOURCE","FACTUAL","REPOSITORY_VERIFIED_FACT","GitHub markdown states stack and stack provenance","public repository evidence","may lag behind site copy","","c073","MEDIUM","VERIFY","PENDING","P1","P0-R4","P1",""
"c066","Sitemap excludes legacy routes","Indexing evidence gap","routes; seo","app/sitemap.ts","route list","/sitemap.xml","LOCAL_PUBLIC_SOURCE","FACTUAL","PARTIALLY_VERIFIED","legacy routes not present in generated list","indexing surface","mismatch with historical route mentions","c062","cluster-route-coverage","MEDIUM","VERIFY","PENDING","2026-08-14","P0-R4","P1",""
"c067","/dev/components route contains internal examples","Internal route behavior","routes; assistant","app/dev/components/page.tsx","route file","/dev/components","LOCAL_PUBLIC_SOURCE","FACTUAL","REPOSITORY_VERIFIED_FACT","route intentionally internal","internal utility","contains legacy /api/ask reference","c017","cluster-api-compat","LOW","KEEP","PENDING","Not user-facing target","P0-R4","P1",""
"c068","Open Graph images for routes","Structured preview claim","metadata; social","app/work/[slug]/opengraph-image.tsx","renderers","/work/[slug]","LOCAL_PUBLIC_SOURCE","FACTUAL","REPOSITORY_VERIFIED_FACT","dynamic OG for projects","social identity","duplication with base OG if not consistent","","c057","MEDIUM","VERIFY","PENDING","P1","P0-R4","P1",""
"c069","Notes route quality claims","Writing quality","messaging; content","app/notes/page.tsx","content mapping","/notes","LOCAL_PUBLIC_SOURCE","UNRESOLVED","PARTIALLY_VERIFIED","PARTIALLY_VERIFIED","notes index with links and summaries","professional method","","cluster-uncategorized","MEDIUM","VERIFY","PENDING","Mark as in-progress notes","P1","P1",""
"c070","Writing route includes publication records","Publishing claims","content; seo","app/writing/page.tsx","content loading","/writing","LOCAL_PUBLIC_SOURCE","UNRESOLVED","PARTIALLY_VERIFIED","REPOSITORY_VERIFIED_FACT","content/writing files and metadata","public thought leadership","","cluster-uncategorized","MEDIUM","VERIFY","PENDING","Keep and map quality tags","P1","P1",""
"c071","LLM file suggests canonical links","Machine identity claims","metadata; seo","public/llms.txt","links","/","LOCAL_PUBLIC_SOURCE","FACTUAL","PARTIALLY_VERIFIED","links to contact/work/resume etc","external identity","includes paths not present in source (/contact)","","c063","MEDIUM","VERIFY","PENDING","P1","P0-R4","P1",""
"c072","Assistant endpoint documented only as /api/chat","Canonical endpoint policy","assistant; api","content/site.ts","proof.apiInfo","/api/chat","LOCAL_PUBLIC_SOURCE","UNRESOLVED","PARTIALLY_VERIFIED","REPOSITORY_VERIFIED_FACT","site API endpoint listing is canonical now","assistant integration","","c017","MEDIUM","VERIFY","PENDING","approved","2026-08-14","P1","P1"
