"phrase","exact_count","file_count","source_files","public_count","internal_document_count","assessment"
"solo","18","12","app/about/opengraph-image.tsx; content/faq.json; content/notes/every-deploy-gated-by-ci.mdx; content/projects.ts; content/site.ts; public/llms.txt; spec/content_model.md; spec/decisions/adr-001-nextjs-app-router.md; spec/decisions/adr-002-tailwind-v4-tokens.md; spec/decisions/adr-004-single-app-not-monorepo.md; spec/decisions/adr-007-no-storybook-preview-route.md; spec/engineering.md","6","0","moderate repetition"
"$0","33","20","app/dev/components/page.tsx; app/uses/opengraph-image.tsx; app/uses/page.tsx; components/case-studies/dbwhisper.tsx; components/case-studies/llm-studio.tsx; components/case-studies/tradepulse.tsx; content/faq.json; content/notes/every-deploy-gated-by-ci.mdx; content/notes/six-providers-one-interface.mdx; content/now.mdx; content/profile.json; content/projects/dbwhisper.mdx; content/projects/llm-studio.mdx; content/site.ts; content/timeline.ts; content/writing/retrieval-beats-stuffing.mdx; docs/flagship-transformation/tools/base-claims-array.json; lib/format.ts; public/llms.txt; spec/brand_positioning.md","17","1","high repetition"
"free tier","46","23","app/dev/components/page.tsx; app/uses/opengraph-image.tsx; app/uses/page.tsx; components/case-studies/dbwhisper.tsx; components/case-studies/llm-studio.tsx; components/case-studies/tradepulse.tsx; components/diagrams/data/dbwhisper.ts; components/diagrams/data/llm-studio.ts; components/diagrams/data/tradepulse.ts; content/faq.json; content/notes/six-providers-one-interface.mdx; content/profile.json; content/projects.ts; content/projects/dbwhisper.mdx; content/projects/llm-studio.mdx; content/projects/tradepulse.mdx; content/site.ts; deploy.md; docs/flagship-transformation/tools/base-claims-array.json; lib/ai/gemini.ts; lib/ai/rate-limit.ts; lib/env.ts; public/llms.txt","18","1","high repetition"
"always","40","24","app/work/[slug]/page.tsx; claude.md; components/case-studies/crownwager.tsx; components/case-studies/dbwhisper.tsx; components/case-studies/tradepulse.tsx; components/diagrams/data/dbwhisper.ts; components/diagrams/data/tradepulse.ts; components/diagrams/system-diagram.tsx; components/features/assistant.tsx; components/sections/split-feature.tsx; components/ui/article-footer.tsx; components/ui/page-header.tsx; content/faq.json; content/projects.json; content/projects/crownwager.mdx; content/projects/dbwhisper.mdx; content/projects/tradepulse.mdx; content/schema.ts; content/writing/look-ahead-free-by-construction.mdx; design-system.md; docs/flagship-transformation/tools/base-claims-array.json; lib/ai/system-prompt.ts; lib/format.ts; spec/design.md","18","2","high repetition"
"never","190","77","app/api/chat/route.ts; app/evals/page.tsx; app/not-found.tsx; app/now/page.tsx; app/resume/page.tsx; app/sitemap.ts; app/uses/page.tsx; claude.md; components/case-studies/crownwager.tsx; components/case-studies/dbwhisper.tsx; components/case-studies/generic.tsx; components/case-studies/llm-studio.tsx; components/case-studies/section.tsx; components/case-studies/tradepulse.tsx; components/diagrams/data/crownwager.ts; components/diagrams/data/llm-studio.ts; components/diagrams/data/tradepulse.ts; components/diagrams/system-diagram.tsx; components/features/assistant-panel.tsx; components/features/newsletter-form.tsx; components/features/proof-strip.tsx; components/home/workbench.tsx; components/mdx/mdx-components.tsx; components/mdx/prose.ts; components/sections/split-feature.tsx; components/seo/json-ld.tsx; components/ui/article-footer.tsx; components/ui/article-header.tsx; components/ui/boundary-mark.tsx; components/ui/callout.tsx; components/ui/check-list.tsx; components/ui/metric.tsx; components/ui/section-heading.tsx; components/ui/tag.tsx; components/ui/text-link.tsx; constants/page.ts; content/evals.ts; content/faq.json; content/home-visual.ts; content/notes/read-only-least-privilege-execution.mdx; content/notes/state-the-risk-free-rate.mdx; content/notes/tenancy-in-the-repository-layer.mdx; content/profile.json; content/projects.ts; content/projects/crownwager.mdx; content/projects/dbwhisper.mdx; content/projects/llm-studio.mdx; content/projects/tradepulse.mdx; content/resume.ts; content/schema.ts; content/site.ts; content/writing/a-validator-is-not-a-better-prompt.mdx; content/writing/look-ahead-free-by-construction.mdx; content/writing/trust-is-not-a-safety-model.mdx; deploy.md; design-system.md; docs/flagship-transformation/tools/base-claims-array.json; lib/ai/gemini.ts; lib/ai/rate-limit.ts; lib/ai/system-prompt.ts; lib/format.ts; lib/mdx-collection.ts; lib/now.ts; next.config.ts; public/llms.txt; qa-report.md; spec/ai_assistant.md; spec/architecture.md; spec/content_model.md; spec/decisions/adr-002-tailwind-v4-tokens.md; spec/decisions/adr-010-ember-console-identity.md; spec/design.md; spec/engineering.md; spec/project_charter.md; spec/sprints/sprint-2-design-system.md; spec/sprints/sprint-4-flagship-case-study.md; spec/sprints/sprint-5-assistant.md","53","2","high repetition"
"zero writes","1","1","docs/flagship-transformation/tools/base-claims-array.json","0","1","low repetition"
"publicly testable","1","1","docs/flagship-transformation/tools/base-claims-array.json","0","1","low repetition"
"live","200","69","app/api/chat/route.ts; app/notes/opengraph-image.tsx; app/opengraph-image.tsx; app/page.tsx; app/resume/page.tsx; app/skills/opengraph-image.tsx; app/skills/page.tsx; app/trust/page.tsx; app/uses/opengraph-image.tsx; app/uses/page.tsx; app/work/[slug]/opengraph-image.tsx; app/work/[slug]/page.tsx; app/work/opengraph-image.tsx; app/work/page.tsx; components/case-studies/crownwager.tsx; components/case-studies/dbwhisper.tsx; components/case-studies/generic.tsx; components/case-studies/llm-studio.tsx; components/case-studies/tradepulse.tsx; components/diagrams/data/dbwhisper.ts; components/diagrams/data/tradepulse.ts; components/diagrams/system-diagram.tsx; components/features/assistant-panel.tsx; components/features/copy-button.tsx; components/features/copy-email.tsx; components/features/faq.tsx; components/home/flagship-home.tsx; components/home/workbench.tsx; components/seo/json-ld.tsx; components/ui/article-header.tsx; config/site.ts; content/evals.ts; content/faq.json; content/home-visual.ts; content/now.mdx; content/profile.json; content/projects.json; content/projects.ts; content/projects/crownwager.mdx; content/projects/dbwhisper.mdx; content/projects/llm-studio.mdx; content/projects/tradepulse.mdx; content/resume.ts; content/schema.ts; content/site.ts; content/timeline.ts; deploy.md; design-system.md; docs/flagship-transformation/00-program-brief.md; docs/flagship-transformation/01-current-state-baseline.md; docs/flagship-transformation/02-route-content-matrix.md; docs/flagship-transformation/05-technical-quality-baseline.md; docs/flagship-transformation/tools/base-claims-array.json; lib/mdx-collection.ts; lib/notes.ts; lib/writing.ts; next.config.ts; public/llms.txt; qa-report.md; readme.md; spec/architecture.md; spec/backlog.md; spec/content_model.md; spec/decisions/adr-001-nextjs-app-router.md; spec/decisions/adr-009-lighthouse-budget-gate.md; spec/design.md; spec/sprints/sprint-1-foundation.md; spec/sprints/sprint-3-content-and-home.md; spec/sprints/sprint-6-writing-timeline-launch.md","46","6","high repetition"
"evaluation","22","14","app/evals/page.tsx; app/rss.xml/route.ts; app/writing/feed.xml/route.ts; app/writing/opengraph-image.tsx; app/writing/page.tsx; components/home/flagship-home.tsx; components/home/workbench.tsx; content/home-visual.ts; content/resume.ts; content/site.ts; content/timeline.ts; docs/flagship-transformation/07-decision-log.md; docs/flagship-transformation/tools/base-claims-array.json; spec/brand_positioning.md","11","2","high repetition"
"evidence","206","44","app/hire/opengraph-image.tsx; app/hire/page.tsx; app/layout.tsx; app/resume/page.tsx; app/trust/opengraph-image.tsx; app/trust/page.tsx; components/case-studies/crownwager.tsx; components/case-studies/dbwhisper.tsx; components/case-studies/llm-studio.tsx; components/case-studies/section.tsx; components/case-studies/tradepulse.tsx; components/home/flagship-home.tsx; components/layout/footer.tsx; components/mdx/decision-log.tsx; components/mdx/mdx-components.tsx; components/mdx/prose.ts; components/ui/check-list.tsx; components/ui/figure.tsx; config/site.ts; content/faq.json; content/home-visual.ts; content/resume.ts; content/site.ts; design-system.md; docs/flagship-transformation/00-program-brief.md; docs/flagship-transformation/01-current-state-baseline.md; docs/flagship-transformation/02-route-content-matrix.md; docs/flagship-transformation/04-design-system-inventory.md; docs/flagship-transformation/06-transformation-roadmap.md; docs/flagship-transformation/07-decision-log.md; docs/flagship-transformation/tools/base-claims-array.json; public/llms.txt; qa-report.md; spec/ai_assistant.md; spec/brand_positioning.md; spec/content_model.md; spec/decisions/adr-004-single-app-not-monorepo.md; spec/decisions/adr-005-custom-system-diagram.md; spec/design.md; spec/engineering.md; spec/project_charter.md; spec/sprints/sprint-2-design-system.md; spec/sprints/sprint-5-assistant.md; spec/sprints/sprint-6-writing-timeline-launch.md","23","7","high repetition"
"end to end","34","19","components/case-studies/dbwhisper.tsx; content/evals.ts; content/faq.json; content/home-visual.ts; content/profile.json; content/projects.ts; content/projects/tradepulse.mdx; content/resume.json; content/resume.ts; content/site.ts; content/timeline.ts; docs/flagship-transformation/tools/base-claims-array.json; public/llms.txt; qa-report.md; spec/brand_positioning.md; spec/content_model.md; spec/design.md; spec/project_charter.md; spec/sprints/sprint-4-flagship-case-study.md","12","1","high repetition"
